Author,Title,Pages,Publisher,Language,ISBN-13,Genre 1,Genre 2,Genre 3,Review
Aldous Leonard Huxley,Admirável mundo novo,312,Globo de Bolso,PT-BR,9788525057358,Fiction,Science fiction,Dystopian,5
Arthur Ignatius Conan Doyle,O cão dos Baskerville,224,Zahar,PT-BR,9788537802755,Fiction,Thriller,Detective,2
Arthur Ignatius Conan Doyle,As aventuras de Sherlock Holmes,384,Zahar,PT-BR,9788537812808,Fiction,Thriller,Detective,4
Arthur Ignatius Conan Doyle,O Mundo Perdido,296,Todavia,PT-BR,9788593828768,Fiction,Fantasy,Science Fiction,4
Arthur Ignatius Conan Doyle,O signo dos quatro,160,L&PM,PT-BR,9788525409232,Fiction,Thriller,Detective,3
Arthur Ignatius Conan Doyle,O Vale do Terror,216,L&PM,PT-BR,9788525409577,Fiction,Thriller,Detective,4
Arthur Ignatius Conan Doyle,Um estudo em vermelho,192,L&PM,PT-BR,9788525408112,Fiction,Thriller,Detective,5
Chad Orzel,How to teach Quantum Physycs to your dog,241,Oneworld Publications,EN,9781416579014,Non-fiction,Creative,Scientific,2
Charles Duhigg,O Poder do Hábito,464,Objetiva,PT-BR,9788539004119,Non-fiction,Essay,Business,2
Christopher Hyatt,A Goetia Ilustrada de Aleister Crowley,160,Madras,PT-BR,9788537006535,Fiction,Religion,Ocultism,4
Clinton Richard Dawkins,The God delusion,463,Black Swan,EN,9780552774291,Non-fiction,Critique,Religion,5
Daniel Goleman,Foco,296,Objetiva,PT-BR,9788539005352,Non-fiction,Essay,Psychology,3
Dois Santos dos Santos,Manual de anti-ajuda,100,Nova Roma,PT-BR,9788560859023,Fiction,Poetry,,3
Edgar Allan Poe,Histórias extraodinárias,135,Saraiva,PT-BR,9788520927205,Fiction,Horror,Mistery,4
Eric Arthur Blair (George Orwell),A Revolução dos Bichos,152,Companhia das Letras,PT-BR,9788535909555,Fiction,Classic,Politics,4
Fiódor Mikhailovitch Dostoiévski,O jogador,199,L&PM,PT-BR,9788525409300,Fiction,Classic,Novel,4
Fiódor Mikhailovitch Dostoiévski,O eterno marido,176,L&PM,PT-BR,9788525424914,Fiction,Classic,Romance,4
Fiódor Mikhailovitch Dostoiévski,Notas do subsolo,160,L&PM,PT-BR,9788525417176,Fiction,Classic,Novel,5
"Gilbert Probst, Steffen Raub, Kai Romhardt",Gestão do Conhecimento,286,Bookman,PT-BR,9788573079784,Non-fiction,Textbook,Business,4
Henry Charles Bukowski,Mulheres,320,L&PM,PT-BR,9788525423139,Fiction,Novel,Autobigraphical,3
Henry Charles Bukowski,"Queimando na água, afogando-se na chama",288,L&PM,PT-BR,9788525434012,Fiction,Poetry,,4
Henry Charles Bukowski,Notas de um velho safado,272,L&PM,PT-BR,9788525409973,Fiction,Classic,Essay,4
Henry Charles Bukowski,Pulp,176,L&PM,PT-BR,9788525418630,Non-fiction,Novel,Detective,4
Henry Charles Bukowski,Factótum,176,L&PM,PT-BR,9788525416612,Fiction,Novel,Autobigraphical,4
Henry Charles Bukowski,Hollywood,240,L&PM,PT-BR,9788525408754,Fiction,Novel,Autobigraphical,4
Herbert George Wells,A Guerra dos Mundos,224,Nova Fronteira,PT-BR,9788520940969,Fiction,Classic,Horror,5
Howard Phillips Lovecraft,O chamado de Cthulu e outros contos,160,Hedra,PT-BR,9788577151165,Fiction,Horror,Lovecraftian,4
Howard Phillips Lovecraft,Um sussuro nas trevas,147,Hedra,PT-BR,9788577152087,Fiction,Horror,Lovecraftian,4
Howard Phillips Lovecraft,A cor que caiu do espaço,104,Hedra,PT-BR,9788577152438,Fiction,Horror,Lovecraftian,3
Howard Phillips Lovecraft,A sombra de Innsmouth,136,Hedra,PT-BR,9788577151875,Fiction,Horror,Lovecraftian,3
Howard Phillips Lovecraft,Nas Montanhas da Loucura,132,Hedra,PT-BR,9788577152285,Fiction,Horror,Lovecraftian,5
Howard Phillips Lovecraft,A Busca Onírica por Kadath,170,Hedra,PT-BR,9788577152902,Fiction,Horror,Lovecraftian,3
Howard Phillips Lovecraft,A tumba,216,L&PM,PT-BR,9788525415837,Fiction,Horror,Lovecraftian,4
Howard Phillips Lovecraft,O caso de Charles Dexter Ward,174,L&PM,PT-BR,9788525406262,Fiction,Horror,Lovecraftian,5
Isaac Asimov,Fundação e Terra,464,Aleph,PT-BR,9788576571377,Fiction,Classic,Space Opera,4
Isaac Asimov,Limites da Fundação,408,Aleph,PT-BR,9788576571339,Fiction,Classic,Space Opera,5
Isaac Asimov,Segunda Fundação,248,Aleph,PT-BR,9788576570684,Fiction,Classic,Space Opera,5
Isaac Asimov,Fundação e Império,248,Aleph,PT-BR,9788576570677,Fiction,Classic,Space Opera,4
Isaac Asimov,Fundação,240,Aleph,PT-BR,9788576570660,Fiction,Classic,Space Opera,5
Isaak Yudavich Azimov,"Eu, robô",320,Aleph,PT-BR,9788576572008,Fiction,Fantastique,Romance,4
Jean-Paul Charles Aymard Sartre,O muro,208,Nova Fronteira,PT-BR,9788520941331,Fiction,Critique,Political philosohpy,4
Johannes Hessen,Teoria do conhecimento,177,Martins Fontes,PT-BR,9788533619098,Non-fiction,Textbook,Philosophy,4
Kevin Dutton,The Wisdom of Psychopaths,302,William Heinemann,EN,9780434020676,Non-fiction,Popular science,Psychology,2
Leonardo Da Vinci,"Sátiras, fábulas, aforimos e profecias",128,Hedra,PT-BR,9788577150861,Non-fiction,Essay,,4
Maria Paula Sibilia,O Homem Pós-Orgânico,248,Contraponto,PT-BR,9788578661083,Non-fiction,Essay,Anthropologie,5
Mary Wollstonecraft Shelley,Frankenstein,272,Hedra,PT-BR,9788577153145,Fiction,Horror,Gothic,5
Niccolò di Bernardo dei Machiavelli,O príncipe,174,Martin Claret,PT-BR,9788572328555,Non-fiction,Treatise,Political philosophy,5
Ray Douglas Bradbury,Fahrenehit 451,216,Biblioteca Azul,PT-BR,9788525052247,Fiction,Science fiction,Politics,5
Raymond Thomas Dalio,Princípios,592,Intrínseca,PT-BR,9788551003428,Non-fiction,Autobiography,Business,1
"Renée Mauborgne, W. Chan Kim",Blue Ocean Shift,336,Macmillan,EN,9781509832194,Non-fiction,Essay,Business,2
Richard Feldman,Epistemology,197,Pearson,EN,9780133416459,Non-fiction,Textbook,Philosophy,5
Robert Beno Cialdini,As Armas da Persuasão,370,Sextante,PT-BR,9788575428092,Non-fiction,Essay,Business,3
"Sérgio Cappareli, Márcia Schmaltz",Fábulas chinesas,64,L&PM,PT-BR,9788525426185,Fiction,Folklore,Fable,3
Sigmund Freud,"Inibição, sintoma e medo",192,L&PM,PT-BR,9788525437334,Non-fiction,Essay,Psychology,4
Sigmund Freud,Compêndio da psicanálise,176,L&PM,PT-BR,9788525432339,Non-fiction,Essay,Psychology,3
Sigmund Freud,Psicologia das massas e análise do eu,176,L&PM,PT-BR,9788525427120,Non-fiction,Essay,Psychology,5
Steven Arthur Pinker,O Novo Iluminismo,664,Companhia das Letras,PT-BR,9788535931440,Non-fiction,Critique,Science,5
Steven Arthur Pinker,Como a Mente Funciona,672,Companhia das Letras,PT-BR,9788571648463,Non-fiction,Essay,Psychology,5
William Thomas Harris III,"Hannibal, a origem do mal",256,BestBolso,PT-BR,9788577994519,Fiction,Horror,Suspense,5
Yuval Noah Harari,Sapiens,464,L&PM,PT-BR,9788525432186,Non-fiction,Essay,History,5
Yuval Noah Harari,Homo Deus,476,Companhia das Letras,PT-BR,9788535928198,Non-fiction,Essay,History,4
